Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	clock_bg	er_base	ldd	p_allopatry	p_sympatry
520	-220.6257	-208.1134	-12.51232	0.20297	0.79703	0.01038189	1.352656	0.2484401	0.7970304	0.2029696
530	-211.878	-204.2703	-7.60768	0.00799861	0.992001	0.007963689	1.044449	0.3637519	0.9920014	0.007998605
540	-221.6406	-208.6834	-12.95717	0.133926	0.866074	0.008110398	1.12418	0.4306581	0.8660738	0.1339262
550	-206.6205	-203.0434	-3.577083	3.61074e-07	1	0.006635266	1.352802	0.3737415	0.9999996	3.610738e-07
560	-203.4547	-204.275	0.8203374	3.61074e-07	1	0.007686326	1.06079	0.3807422	0.9999996	3.610738e-07
570	-204.19	-204.4106	0.2206297	3.61074e-07	1	0.01089531	1.330435	0.2340574	0.9999996	3.610738e-07
580	-215.3106	-215.365	0.05438992	3.61074e-07	1	0.00997795	1.238191	0.3172911	0.9999996	3.610738e-07
590	-209.6516	-203.002	-6.649663	3.61074e-07	1	0.01100862	1.454647	0.3737622	0.9999996	3.610738e-07
600	-214.6665	-212.9955	-1.671057	3.61074e-07	1	0.008574544	1.179718	0.4137055	0.9999996	3.610738e-07
610	-211.1851	-211.086	-0.09900459	3.61074e-07	1	0.009591531	1.007874	0.4110484	0.9999996	3.610738e-07
620	-217.4049	-217.3686	-0.03630037	3.61074e-07	1	0.008029309	1.08502	0.4007956	0.9999996	3.610738e-07
630	-203.8956	-201.0554	-2.840255	3.61074e-07	1	0.008814487	1.296799	0.3813689	0.9999996	3.610738e-07
640	-209.74	-211.7502	2.010204	3.61074e-07	1	0.01018123	1.134194	0.3042671	0.9999996	3.610738e-07
650	-199.1277	-201.2321	2.104383	3.61074e-07	1	0.009794424	1.170514	0.2835935	0.9999996	3.610738e-07
660	-206.9784	-207.6525	0.6741259	3.61074e-07	1	0.006254768	1.142222	0.3651388	0.9999996	3.610738e-07
670	-215.39	-217.3278	1.937888	3.61074e-07	1	0.0117257	1.21739	0.2536158	0.9999996	3.610738e-07
680	-216.5712	-216.7431	0.1719361	3.61074e-07	1	0.009440659	1.128222	0.3740242	0.9999996	3.610738e-07
690	-197.4577	-197.1652	-0.2925262	3.61074e-07	1	0.00856356	1.146275	0.3850273	0.9999996	3.610738e-07
700	-191.5213	-191.0188	-0.5025073	3.61074e-07	1	0.007015812	1.000247	0.4334258	0.9999996	3.610738e-07
710	-216.6348	-214.5393	-2.095462	3.61074e-07	1	0.009366112	1.239043	0.3925333	0.9999996	3.610738e-07
720	-202.6917	-204.4324	1.740699	3.61074e-07	1	0.01279902	1.052299	0.3338391	0.9999996	3.610738e-07
730	-219.5394	-218.37	-1.16945	3.61074e-07	1	0.007056995	1.084942	0.4396021	0.9999996	3.610738e-07
740	-214.6889	-215.0141	0.325212	3.61074e-07	1	0.005652824	0.8625723	0.3870876	0.9999996	3.610738e-07
750	-205.383	-203.3217	-2.061272	3.61074e-07	1	0.009536079	1.149351	0.4356623	0.9999996	3.610738e-07
760	-203.7406	-201.2571	-2.483534	3.61074e-07	1	0.006296032	1.216871	0.4294748	0.9999996	3.610738e-07
770	-210.3488	-198.4228	-11.92597	0.104019	0.895981	0.006789811	1.081741	0.424837	0.895981	0.104019
780	-218.3399	-206.956	-11.38381	0.0422478	0.957752	0.007276751	1.154695	0.4054832	0.9577522	0.04224785
790	-219.7533	-210.4387	-9.314595	0.19928	0.80072	0.006232568	1.038373	0.3322382	0.80072	0.19928
800	-218.2229	-209.9401	-8.282723	0.171048	0.828952	0.007422974	1.149444	0.2523072	0.8289525	0.1710475
810	-216.327	-203.1326	-13.19435	0.0118068	0.988193	0.007680863	1.116576	0.5029545	0.9881932	0.01180677
820	-212.48	-203.0833	-9.396701	0.107844	0.892156	0.007898551	1.139474	0.3133899	0.892156	0.107844
830	-211.2431	-203.4916	-7.751574	0.00391269	0.996087	0.008689292	1.139474	0.3573582	0.9960873	0.00391269
840	-211.6251	-201.5066	-10.1185	0.0486837	0.951316	0.007812898	0.9651013	0.3983885	0.9513163	0.04868373
850	-220.4638	-211.7981	-8.665777	0.311876	0.688124	0.009733365	1.14637	0.2366412	0.6881245	0.3118755
860	-226.2942	-221.321	-4.973202	0.00167435	0.998326	0.006325784	1.077994	0.3206921	0.9983256	0.001674354
870	-227.2021	-211.9208	-15.28134	0.215264	0.784736	0.008581522	1.051247	0.5012875	0.784736	0.215264
880	-210.2102	-201.6929	-8.517303	0.199436	0.800564	0.009037943	0.974372	0.2943288	0.8005637	0.1994363
890	-220.6389	-211.4905	-9.148492	0.195341	0.804659	0.008126801	1.196483	0.2505638	0.804659	0.195341
900	-216.0198	-205.5057	-10.51405	0.143829	0.856171	0.007656134	1.172546	0.3289959	0.8561708	0.1438292
910	-216.4498	-205.207	-11.24284	0.0535309	0.946469	0.007462601	1.190307	0.3761408	0.9464691	0.05353088
920	-220.7283	-205.8303	-14.89804	0.157804	0.842196	0.006091915	1.096996	0.4978797	0.8421964	0.1578036
930	-225.6978	-212.3829	-13.31488	0.209487	0.790513	0.00556204	1.004892	0.4652834	0.7905127	0.2094873
940	-222.8946	-215.1459	-7.748761	0.00731679	0.992683	0.005641446	0.984692	0.3881703	0.9926832	0.007316788
950	-213.7824	-200.6657	-13.11671	0.078801	0.921199	0.008095813	1.250485	0.3889103	0.921199	0.078801
960	-216.8434	-204.3964	-12.44701	0.0496297	0.95037	0.006001952	1.0945	0.4600894	0.9503703	0.04962967
970	-228.1704	-213.6223	-14.54808	0.0923256	0.907674	0.004799703	0.9452894	0.5203221	0.9076744	0.09232558
980	-218.5534	-210.1829	-8.370494	0.0377626	0.962237	0.008428476	1.132989	0.3109997	0.9622374	0.0377626
990	-221.6082	-209.2594	-12.34879	0.0335635	0.966437	0.007857711	1.246295	0.392453	0.9664365	0.03356348
1000	-225.1172	-214.3844	-10.73279	0.0727451	0.927255	0.006751098	1.012667	0.4104529	0.9272549	0.07274513
